代码,名称,行业,最新价,突破幅度 (%),贝叶斯置信分,ATR,数据日期,扫描时间,ATR 风险,量价背离
600522,股票600522,沪市,49.87,1.01,0.3941,3.7,2026-06-08,2026-06-08 05:31:43,False,False
600403,股票600403,沪市,8.77,7.74,0.2573,0.41,2026-06-08,2026-06-08 05:30:38,True,False
600187,股票600187,沪市,1.69,3.05,0.2547,0.08,2026-06-08,2026-06-08 05:24:47,False,True
600293,股票600293,沪市,4.07,2.78,0.252,0.27,2026-06-08,2026-06-08 05:25:28,True,False
000668,股票000668,深市,20.94,1.7,0.243,1.08,2026-06-08,2026-06-08 05:27:15,True,False
000785,股票000785,深市,2.72,2.26,0.2402,0.11,2026-06-08,2026-06-08 05:27:48,True,False
000068,股票000068,深市,3.92,10.11,0.2162,0.19,2026-06-08,2026-06-08 05:25:53,True,False
000608,股票000608,深市,5.75,4.17,0.2161,0.37,2026-06-08,2026-06-08 05:26:56,True,False
600378,股票600378,沪市,49.36,3.01,0.2052,3.44,2026-06-08,2026-06-08 05:30:25,True,False
000517,股票000517,深市,2.33,9.91,0.203,0.11,2026-06-08,2026-06-08 05:26:23,True,False
600367,股票600367,沪市,52.79,2.15,0.1898,3.23,2026-06-08,2026-06-08 05:30:20,True,False
